Athlete,Country,Sport,Event,Medal
CASTALDO Matteo,Italy,Rowing,Men's Four,bronze
DI COSTANZO Marco,Italy,Rowing,Men's Pair,bronze
LODO Matteo,Italy,Rowing,Men's Four,bronze
MONTRONE Domenico,Italy,Rowing,Men's Four,bronze
VICINO Giuseppe,Italy,Rowing,Men's Four,bronze
CAINERO Chiara,Italy,Shooting,Skeet Women,silver
INNOCENTI Marco,Italy,Shooting,Double Trap Men,silver
PELLIELO Giovanni,Italy,Shooting,Trap Men,silver
CAMPRIANI Niccolo,Italy,Shooting,50m Rifle 3 Positions Men,gold
CAMPRIANI Niccolo,Italy,Shooting,10m Air Rifle Men,gold
BACOSI Diana,Italy,Shooting,Skeet Women,gold
ROSSETTI Gabriele,Italy,Shooting,Skeet Men,gold
PALTRINIERI Gregorio,Italy,Swimming,Men's 1500m Freestyle,gold
DETTI Gabriele,Italy,Swimming,Men's 1500m Freestyle,bronze
DETTI Gabriele,Italy,Swimming,Men's 400m Freestyle,bronze
ANTONOV Oleg,Italy,Volleyball,Men,silver
BIRARELLI Emanuele,Italy,Volleyball,Men,silver
BUTI Simone,Italy,Volleyball,Men,silver
COLACI Massimo,Italy,Volleyball,Men,silver
GIANNELLI Simone,Italy,Volleyball,Men,silver
JUANTORENA Osmany,Italy,Volleyball,Men,silver
LANZA Filippo,Italy,Volleyball,Men,silver
PIANO Matteo,Italy,Volleyball,Men,silver
ROSSINI Salvatore,Italy,Volleyball,Men,silver
SOTTILE Pasquale,Italy,Volleyball,Men,silver
VETTORI Luca,Italy,Volleyball,Men,silver
ZAYTSEV Ivan,Italy,Volleyball,Men,silver
AIELLO Rosaria,Italy,Water Polo,Women,silver
BIANCONI Roberta,Italy,Water Polo,Women,silver
COTTI Aleksandra,Italy,Water Polo,Women,silver
DI MARIO Tania,Italy,Water Polo,Women,silver
EMMOLO Giulia,Italy,Water Polo,Women,silver
FRASSINETTI Teresa,Italy,Water Polo,Women,silver
GARIBOTTI Arianna,Italy,Water Polo,Women,silver
GORLERO Giulia,Italy,Water Polo,Women,silver
POMERI Francesca,Italy,Water Polo,Women,silver
QUEIROLO Elisa,Italy,Water Polo,Women,silver
RADICCHI Federica,Italy,Water Polo,Women,silver
TABANI Chiara,Italy,Water Polo,Women,silver
TEANI Laura,Italy,Water Polo,Women,silver
AICARDI Matteo,Italy,Water Polo,Men,bronze
BODEGAS Michael Alexandre,Italy,Water Polo,Men,bronze
DEL LUNGO Marco,Italy,Water Polo,Men,bronze
DI FULVIO Francesco,Italy,Water Polo,Men,bronze
FIGLIOLI Pietro,Italy,Water Polo,Men,bronze
FONDELLI Andrea,Italy,Water Polo,Men,bronze
GALLO Valentino,Italy,Water Polo,Men,bronze
GITTO Niccolo',Italy,Water Polo,Men,bronze
NORA Alessandro,Italy,Water Polo,Men,bronze
PRESCIUTTI Christian,Italy,Water Polo,Men,bronze
PRESCIUTTI Nicholas,Italy,Water Polo,Men,bronze
TEMPESTI Stefano,Italy,Water Polo,Men,bronze
VELOTTO Alessandro,Italy,Water Polo,Men,bronze
CHAMIZO MARQUEZ Frank,Italy,Wrestling,Men's Freestyle 65 kg,bronze
THOMPSON Elaine,Jamaica,Athletics,Women's 4 x 100m Relay,silver
FRASER-PRYCE Shelly-Ann,Jamaica,Athletics,Women's 4 x 100m Relay,silver
JACKSON Shericka,Jamaica,Athletics,Women's 4 x 400m Relay,silver
ALLEN Nathon,Jamaica,Athletics,Men's 4 x 400m Relay,silver
BELL Javere,Jamaica,Athletics,Men's 4 x 400m Relay,silver
CAMPBELL-BROWN Veronica,Jamaica,Athletics,Women's 4 x 100m Relay,silver
DAY Christine,Jamaica,Athletics,Women's 4 x 400m Relay,silver
DUNKLEY Fitzroy,Jamaica,Athletics,Men's 4 x 400m Relay,silver
FACEY Simone,Jamaica,Athletics,Women's 4 x 100m Relay,silver
FORBES Sashalee,Jamaica,Athletics,Women's 4 x 100m Relay,silver
FRANCIS Javon,Jamaica,Athletics,Men's 4 x 400m Relay,silver
GORDON Chrisann,Jamaica,Athletics,Women's 4 x 400m Relay,silver
MATTHEWS Peter,Jamaica,Athletics,Men's 4 x 400m Relay,silver
MCDONALD Rusheen,Jamaica,Athletics,Men's 4 x 400m Relay,silver
MCLAUGHLIN-WHILBY Anneisha,Jamaica,Athletics,Women's 4 x 400m Relay,silver
MCPHERSON Stephenie Ann,Jamaica,Athletics,Women's 4 x 400m Relay,silver
WILLIAMS Christania,Jamaica,Athletics,Women's 4 x 100m Relay,silver
WILLIAMS-MILLS Novlene,Jamaica,Athletics,Women's 4 x 400m Relay,silver
BOLT Usain,Jamaica,Athletics,Men's 4 x 100m Relay,gold
BOLT Usain,Jamaica,Athletics,Men's 200m,gold
BOLT Usain,Jamaica,Athletics,Men's 100m,gold
THOMPSON Elaine,Jamaica,Athletics,Women's 200m,gold
THOMPSON Elaine,Jamaica,Athletics,Women's 100m,gold
ASHMEADE Nickel,Jamaica,Athletics,Men's 4 x 100m Relay,gold
BAILEY-COLE Kemar,Jamaica,Athletics,Men's 4 x 100m Relay,gold
BLAKE Yohan,Jamaica,Athletics,Men's 4 x 100m Relay,gold
MCLEOD Omar,Jamaica,Athletics,Men's 110m Hurdles,gold
MINZIE Jevaughn,Jamaica,Athletics,Men's 4 x 100m Relay,gold
POWELL Asafa,Jamaica,Athletics,Men's 4 x 100m Relay,gold
FRASER-PRYCE Shelly-Ann,Jamaica,Athletics,Women's 100m,bronze
JACKSON Shericka,Jamaica,Athletics,Women's 400m,bronze
UCHIMURA Kohei,Japan,Artistic Gymnastics,Men's Individual All-Around,gold
UCHIMURA Kohei,Japan,Artistic Gymnastics,Men's Team,gold
SHIRAI Kenzo,Japan,Artistic Gymnastics,Men's Team,gold
KATO Ryohei,Japan,Artistic Gymnastics,Men's Team,gold
TANAKA Yusuke,Japan,Artistic Gymnastics,Men's Team,gold
YAMAMURO Koji,Japan,Artistic Gymnastics,Men's Team,gold
SHIRAI Kenzo,Japan,Artistic Gymnastics,Men's Vault,bronze
CAMBRIDGE Aska,Japan,Athletics,Men's 4 x 100m Relay,silver
FUJIMITSU Kenji,Japan,Athletics,Men's 4 x 100m Relay,silver
IIZUKA Shota,Japan,Athletics,Men's 4 x 100m Relay,silver
KIRYU Yoshihide,Japan,Athletics,Men's 4 x 100m Relay,silver
TAKASE Kei,Japan,Athletics,Men's 4 x 100m Relay,silver
YAMAGATA Ryota,Japan,Athletics,Men's 4 x 100m Relay,silver
ARAI Hirooki,Japan,Athletics,Men's 50km Walk,bronze
MATSUTOMO Misaki,Japan,Badminton,Women's Doubles,gold
TAKAHASHI Ayaka,Japan,Badminton,Women's Doubles,gold
OKUHARA Nozomi,Japan,Badminton,Women's Singles,bronze
HANEDA Takuya,Japan,Canoe Slalom,Canoe Single (C1) Men,bronze
HARASAWA Hisayoshi,Japan,Judo,Men +100 kg,silver
BAKER Mashu,Japan,Judo,Men -90 kg,gold
ONO Shohei,Japan,Judo,Men -73 kg,gold
TACHIMOTO Haruka,Japan,Judo,Women -70 kg,gold
EBINUMA Masashi,Japan,Judo,Men -66 kg,bronze
HAGA Ryunosuke,Japan,Judo,Men -100 kg,bronze
KONDO Ami,Japan,Judo,Women -48 kg,bronze
MATSUMOTO Kaori,Japan,Judo,Women -57 kg,bronze
NAGASE Takanori,Japan,Judo,Men -81 kg,bronze
NAKAMURA Misato,Japan,Judo,Women -52 kg,bronze
TAKATO Naohisa,Japan,Judo,Men -60 kg,bronze
YAMABE Kanae,Japan,Judo,Women +78 kg,bronze
HAGINO Kosuke,Japan,Swimming,Men's 200m Individual Medley,silver
SAKAI Masato,Japan,Swimming,Men's 200m Butterfly,silver
HAGINO Kosuke,Japan,Swimming,Men's 400m Individual Medley,gold
KANETO Rie,Japan,Swimming,Women's 200m Breaststroke,gold
HAGINO Kosuke,Japan,Swimming,Men's 4 x 200m Freestyle Relay,bronze
EHARA Naito,Japan,Swimming,Men's 4 x 200m Freestyle Relay,bronze
HOSHI Natsumi,Japan,Swimming,Women's 200m Butterfly,bronze
KOBORI Yuki,Japan,Swimming,Men's 4 x 200m Freestyle Relay,bronze
MATSUDA Takeshi,Japan,Swimming,Men's 4 x 200m Freestyle Relay,bronze
SETO Daiya,Japan,Swimming,Men's 400m Individual Medley,bronze
INUI Yukiko,Japan,Synchronised Swimming,Teams,bronze
INUI Yukiko,Japan,Synchronised Swimming,Duets,bronze
MITSUI Risako,Japan,Synchronised Swimming,Teams,bronze
MITSUI Risako,Japan,Synchronised Swimming,Duets,bronze
HAKOYAMA Aika,Japan,Synchronised Swimming,Teams,bronze
HAYASHI Aiko,Japan,Synchronised Swimming,Teams,bronze
MARUMO Kei,Japan,Synchronised Swimming,Teams,bronze
NAKAMAKI Kanami,Japan,Synchronised Swimming,Teams,bronze
NAKAMURA Mai,Japan,Synchronised Swimming,Teams,bronze
OMATA Kano,Japan,Synchronised Swimming,Teams,bronze
YOSHIDA Kurumi,Japan,Synchronised Swimming,Teams,bronze
MIZUTANI Jun,Japan,Table Tennis,Men's Team,silver
NIWA Koki,Japan,Table Tennis,Men's Team,silver
YOSHIMURA Maharu,Japan,Table Tennis,Men's Team,silver
MIZUTANI Jun,Japan,Table Tennis,Men's Singles,bronze
FUKUHARA Ai,Japan,Table Tennis,Women's Team,bronze
ISHIKAWA Kasumi,Japan,Table Tennis,Women's Team,bronze
ITO Mima,Japan,Table Tennis,Women's Team,bronze
NISHIKORI Kei,Japan,Tennis,Men's Singles,bronze
MIYAKE Hiromi,Japan,Weightlifting,Women's 48kg,bronze
HIGUCHI Rei,Japan,Wrestling,Men's Freestyle 57 kg,silver
OTA Shinobu,Japan,Wrestling,Men's Greco-Roman 59 kg,silver
YOSHIDA Saori,Japan,Wrestling,Women's Freestyle 53 kg,silver
DOSHO Sara,Japan,Wrestling,Women's Freestyle 69 kg,gold
ICHO Kaori,Japan,Wrestling,Women's Freestyle 58 kg,gold
KAWAI Risako,Japan,Wrestling,Women's Freestyle 63 kg,gold
TOSAKA Eri,Japan,Wrestling,Women's Freestyle 48 kg,gold
ABUGHAUSH Ahmad,Jordan,Taekwondo,Men -68kg,gold
RYPAKOVA Olga,Kazakhstan,Athletics,Women's Triple Jump,bronze
LEVIT Vassiliy,Kazakhstan,Boxing,Men's Heavy (91kg),silver
NIYAZYMBETOV Adilbek,Kazakhstan,Boxing,Men's Light Heavy (81kg),silver
YELEUSSINOV Daniyar,Kazakhstan,Boxing,Men's Welter (69kg),gold
DYCHKO Ivan,Kazakhstan,Boxing,Men's Super Heavy (+91kg),bronze
SHAKIMOVA Dariga,Kazakhstan,Boxing,Women's Middle (69-75kg),bronze
SMETOV Yeldos,Kazakhstan,Judo,Men -60 kg,silver
GALBADRAKH Otgontsetseg,Kazakhstan,Judo,Women -48 kg,bronze
BALANDIN Dmitriy,Kazakhstan,Swimming,Men's 200m Breaststroke,gold
ZHAPPARKUL Zhazira,Kazakhstan,Weightlifting,Women's 69kg,silver
RAHIMOV Nijat,Kazakhstan,Weightlifting,Men's 77kg,gold
GORICHEVA Karina,Kazakhstan,Weightlifting,Women's 63kg,bronze
KHARKI Farkhad,Kazakhstan,Weightlifting,Men's 62kg,bronze
ZAICHIKOV Alexandr,Kazakhstan,Weightlifting,Men's 105kg,bronze
MANYUROVA Guzel,Kazakhstan,Wrestling,Women's Freestyle 75 kg,silver
LARIONOVA Yekaterina,Kazakhstan,Wrestling,Women's Freestyle 63 kg,bronze
SYZDYKOVA Elmira,Kazakhstan,Wrestling,Women's Freestyle 69 kg,bronze
CHERUIYOT Vivian Jepkemoi,Kenya,Athletics,"Women's 10,000m",silver
JEPKEMOI Hyvin Kiyeng,Kenya,Athletics,Women's 3000m Steeplechase,silver
OBIRI Hellen Onsando,Kenya,Athletics,Women's 5000m,silver
TANUI Paul Kipngetich,Kenya,Athletics,"Men's 10,000m",silver
TUMUTI Boniface Mucheru,Kenya,Athletics,Men's 400m Hurdles,silver
YEGO Julius,Kenya,Athletics,Men's Javelin Throw,silver
CHERUIYOT Vivian Jepkemoi,Kenya,Athletics,Women's 5000m,gold
KIPCHOGE Eliud,Kenya,Athletics,Men's Marathon,gold
KIPRUTO Conseslus,Kenya,Athletics,Men's 3000m Steeplechase,gold
KIPYEGON Faith Chepngetich,Kenya,Athletics,Women's 1500m,gold
RUDISHA David Lekuta,Kenya,Athletics,Men's 800m,gold
SUMGONG Jemima Jelagat,Kenya,Athletics,Women's Marathon,gold
WAMBUI Margaret Nyairera,Kenya,Athletics,Women's 800m,bronze
KELMENDI Majlinda,Kosovo,Judo,Women -52 kg,gold
LANKAS Aurimas,Lithuania,Canoe Sprint,Men's Kayak Double 200m,bronze
RAMANAUSKAS Edvinas,Lithuania,Canoe Sprint,Men's Kayak Double 200m,bronze
GRISKONIS Mindaugas,Lithuania,Rowing,Men's Double Sculls,silver
RITTER Saulius,Lithuania,Rowing,Men's Double Sculls,silver
VALCIUKAITE Milda,Lithuania,Rowing,Women's Double Sculls,bronze
VISTARTAITE Donata,Lithuania,Rowing,Women's Double Sculls,bronze
DIDZBALIS Aurimas,Lithuania,Weightlifting,Men's 94kg,bronze
CHAN Peng Soon,Malaysia,Badminton,Mixed Doubles,silver
GOH Liu Ying,Malaysia,Badminton,Mixed Doubles,silver
GOH V Shem,Malaysia,Badminton,Men's Doubles,silver
LEE Chong Wei,Malaysia,Badminton,Men's Singles,silver
TAN Wee Kiong,Malaysia,Badminton,Men's Doubles,silver
AWANG Azizulhasni,Malaysia,Cycling Track,Men's Keirin,bronze
CHEONG Jun Hoong,Malaysia,Diving,Women's Synchronised 10m Platform,silver
PAMG Pandelela Rinong,Malaysia,Diving,Women's Synchronised 10m Platform,silver
GONZALEZ Maria Guadalupe,Mexico,Athletics,Women's 20km Walk,silver
RODRIGUEZ Misael Uziel,Mexico,Boxing,Men's Middle (75kg),bronze
SANCHEZ German,Mexico,Diving,Men's 10m Platform,silver
HERNANDEZ USCANGA Ismael Marcelo,Mexico,Modern Pentathlon,Men's Individual,bronze
ESPINOZA ESPINOZA Maria del Rosario,Mexico,Taekwondo,Women +67kg,silver
DORJNYAMBUU Otgondalai,Mongolia,Boxing,Men's Light (60kg),bronze
DORJSUREN Sumiya,Mongolia,Judo,Women -57 kg,silver
RABII Mohammed,Morocco,Boxing,Men's Welter (69kg),bronze
WEVERS Sanne,Netherlands,Artistic Gymnastics,Women's Balance Beam,gold
SCHIPPERS Dafne,Netherlands,Athletics,Women's 200m,silver
BROUWER Alexander,Netherlands,Beach Volleyball,Men,bronze
MEEUWSEN Robert,Netherlands,Beach Volleyball,Men,bronze
FONTIJN Nouchka,Netherlands,Boxing,Women's Middle (69-75kg),silver
VAN GORKOM Jelle,Netherlands,Cycling BMX,Men,silver
DUMOULIN Tom,Netherlands,Cycling Road,Men's Individual Time Trial,silver
VAN DER BREGGEN Anna,Netherlands,Cycling Road,Women's Road Race,gold
VAN DER BREGGEN Anna,Netherlands,Cycling Road,Women's Individual Time Trial,bronze
BUCHLI Matthijs,Netherlands,Cycling Track,Men's Keirin,silver
LIGTLEE Elis,Netherlands,Cycling Track,Women's Keirin,gold
BOS Willemijn,Netherlands,Hockey,Women,silver
DE GOEDE Eva,Netherlands,Hockey,Women,silver
DE WAARD Xan,Netherlands,Hockey,Women,silver
DIRKSE VAN DEN HEUVEL Carlien,Netherlands,Hockey,Women,silver
HOOG Ellen,Netherlands,Hockey,Women,silver
JONKER Kelly,Netherlands,Hockey,Women,silver
KEETELS Marloes,Netherlands,Hockey,Women,silver
LEURINK Laurien,Netherlands,Hockey,Women,silver
NUNNINK Laura,Netherlands,Hockey,Women,silver
PAUMEN Maartje,Netherlands,Hockey,Women,silver
SOMBROEK Joyce,Netherlands,Hockey,Women,silver
VAN AS Naomi,Netherlands,Hockey,Women,silver
VAN DER POLS Michelle,Netherlands,Hockey,Women,silver
VAN GEFFEN Margot,Netherlands,Hockey,Women,silver
VAN MAASAKKER Caia,Netherlands,Hockey,Women,silver
VAN MALE Kitty,Netherlands,Hockey,Women,silver
VERSCHOOR Maria,Netherlands,Hockey,Women,silver
WELTEN Lidewij,Netherlands,Hockey,Women,silver
VAN EMDEN Anicka,Netherlands,Judo,Women -63 kg,bronze
VAN ROUWENDAAL Sharon,Netherlands,Marathon Swimming,Women's 10km,gold
WEERTMAN Ferry,Netherlands,Marathon Swimming,Men's 10km,gold
ACHTERBERG Chantal,Netherlands,Rowing,Women's Quadruple Sculls,silver
BEUKERS Nicole,Netherlands,Rowing,Women's Quadruple Sculls,silver
BOUW Carline,Netherlands,Rowing,Women's Quadruple Sculls,silver
JANSSEN Inge,Netherlands,Rowing,Women's Quadruple Sculls,silver
HEAD Maaike,Netherlands,Rowing,Lightweight Women's Double Sculls,gold
PAULIS Ilse,Netherlands,Rowing,Lightweight Women's Double Sculls,gold
HENDRIKS Kaj,Netherlands,Rowing,Men's Eight,bronze
LUECKEN Robert,Netherlands,Rowing,Men's Eight,bronze
MEYLINK Boaz,Netherlands,Rowing,Men's Eight,bronze
ROELL Boudewijn,Netherlands,Rowing,Men's Eight,bronze
SIEGELAAR Olivier,Netherlands,Rowing,Men's Eight,bronze
UITTENBOGAARD Dirk,Netherlands,Rowing,Men's Eight,bronze
VERSLUIS Mechiel,Netherlands,Rowing,Men's Eight,bronze
WIERSUM Peter,Netherlands,Rowing,Men's Eight,bronze
WIETEN Tone,Netherlands,Rowing,Men's Eight,bronze
BOUWMEESTER Marit,Netherlands,Sailing,Laser Radial Women,gold
VAN RIJSSELBERGHE Dorian,Netherlands,Sailing,RS:X Men,gold
ADAMS Valerie,New Zealand,Athletics,Women's Shot Put,silver
MCCARTNEY Eliza,New Zealand,Athletics,Women's Pole Vault,bronze
WALSH Tomas,New Zealand,Athletics,Men's Shot Put,bronze
WILLIS Nicholas,New Zealand,Athletics,Men's 1500m,bronze
JONES Luuka,New Zealand,Canoe Slalom,Kayak (K1) Women,silver
CARRINGTON Lisa,New Zealand,Canoe Sprint,Women's Kayak Single 200m,gold
CARRINGTON Lisa,New Zealand,Canoe Sprint,Women's Kayak Single 500m,bronze
DAWKINS Edward,New Zealand,Cycling Track,Men's Team Sprint,silver
MITCHELL Ethan,New Zealand,Cycling Track,Men's Team Sprint,silver
WEBSTER Sam,New Zealand,Cycling Track,Men's Team Sprint,silver
WILLIAMS Zac,New Zealand,Cycling Track,Men's Team Sprint,silver
KO Lydia,New Zealand,Golf,Women's Individual Stroke Play,silver
BEHRENT Genevieve,New Zealand,Rowing,Women's Pair,silver
SCOWN Rebecca,New Zealand,Rowing,Women's Pair,silver
BOND Hamish,New Zealand,Rowing,Men's Pair,gold
DRYSDALE Mahe,New Zealand,Rowing,Men's Single Sculls,gold
MURRAY Eric,New Zealand,Rowing,Men's Pair,gold
BAKER Shakira,New Zealand,Rugby Sevens,Women,silver
BRAZIER Kelly,New Zealand,Rugby Sevens,Women,silver
BROUGHTON Gayle,New Zealand,Rugby Sevens,Women,silver
FITZPATRICK Theresa,New Zealand,Rugby Sevens,Women,silver
GOSS Sarah,New Zealand,Rugby Sevens,Women,silver
MANUEL Huriana,New Zealand,Rugby Sevens,Women,silver
MCALISTER Kayla,New Zealand,Rugby Sevens,Women,silver
NATHAN-WONG Tyla,New Zealand,Rugby Sevens,Women,silver
TE TAMAKI Terina,New Zealand,Rugby Sevens,Women,silver
TUI Ruby,New Zealand,Rugby Sevens,Women,silver
WILLIAMS Niall,New Zealand,Rugby Sevens,Women,silver
WOODMAN Portia,New Zealand,Rugby Sevens,Women,silver
ALEH Jo,New Zealand,Sailing,470 Women,silver
MALONEY Alex,New Zealand,Sailing,49er FX Women,silver
MEECH Molly,New Zealand,Sailing,49er FX Women,silver
POWRIE Polly,New Zealand,Sailing,470 Women,silver
BURLING Peter,New Zealand,Sailing,49er Men,gold
TUKE Blair,New Zealand,Sailing,49er Men,gold
MEECH Sam,New Zealand,Sailing,Laser Men,bronze
ROONEY Natalie,New Zealand,Shooting,Trap Women,silver
ISSOUFOU ALFAGA Abdoulrazak,Niger,Taekwondo,Men +80kg,silver
AJAYI Oluwafemi,Nigeria,Football,Men,bronze
AKPEYI Daniel,Nigeria,Football,Men,bronze
AMUZIE Stanley,Nigeria,Football,Men,bronze
AWONIYI Taiwo,Nigeria,Football,Men,bronze
AZUBUIKE Okechukwu,Nigeria,Football,Men,bronze
BALA Yusuf,Nigeria,Football,Men,bronze
DANIEL Emmanuel,Nigeria,Football,Men,bronze
DIMGBA Sopuruchi,Nigeria,Football,Men,bronze
EKONG William,Nigeria,Football,Men,bronze
ERIMUYA Saturday,Nigeria,Football,Men,bronze
ETEBO Oghenekaro,Nigeria,Football,Men,bronze
EZEKIEL Imoh,Nigeria,Football,Men,bronze
GODWIN Saviour,Nigeria,Football,Men,bronze
MADU Kingsley,Nigeria,Football,Men,bronze
MIKEL John Obi,Nigeria,Football,Men,bronze
MUHAMMED Usman,Nigeria,Football,Men,bronze
SALIU Popoola,Nigeria,Football,Men,bronze
SHEHU Abdullahi,Nigeria,Football,Men,bronze
SINCERE Muenfuh,Nigeria,Football,Men,bronze
UDO Ndifreke,Nigeria,Football,Men,bronze
UMAR Aminu,Nigeria,Football,Men,bronze
UMAR Sadiq,Nigeria,Football,Men,bronze
ALSTAD Ida,Norway,Handball,Women,bronze
ARNTZEN Emilie Hegh,Norway,Handball,Women,bronze
FRAFJORD Marit Malm,Norway,Handball,Women,bronze
GRIMSBO Kari Aalvik,Norway,Handball,Women,bronze
HERREM Camilla,Norway,Handball,Women,bronze
KOREN Linn-Kristin Riegelhuth,Norway,Handball,Women,bronze
KRISTIANSEN Veronica,Norway,Handball,Women,bronze
KURTOVIC Amanda,Norway,Handball,Women,bronze
LOKE Heidi,Norway,Handball,Women,bronze
LUNDE Katrine,Norway,Handball,Women,bronze
MOLID Mari,Norway,Handball,Women,bronze
MORK Nora,Norway,Handball,Women,bronze
OFTEDAL Stine Bredal,Norway,Handball,Women,bronze
SOLBERG Sanna,Norway,Handball,Women,bronze
BORCH Kjetil,Norway,Rowing,Men's Double Sculls,bronze
BRUN Kristoffer,Norway,Rowing,Lightweight Men's Double Sculls,bronze
STRANDLI Are,Norway,Rowing,Lightweight Men's Double Sculls,bronze
TUFTE Olaf,Norway,Rowing,Men's Double Sculls,bronze
BERGE Stig-Andre,Norway,Wrestling,Men's Greco-Roman 59 kg,bronze
DIAZ Hidilyn,Philippines,Weightlifting,Women's 53kg,silver
MALACHOWSKI Piotr,Poland,Athletics,Men's Discus Throw,silver
WLODARCZYK Anita,Poland,Athletics,Women's Hammer Throw,gold
NOWICKI Wojciech,Poland,Athletics,Men's Hammer Throw,bronze
WALCZYKIEWICZ Marta,Poland,Canoe Sprint,Women's Kayak Single 200m,silver
MIKOLAJCZYK Beata,Poland,Canoe Sprint,Women's Kayak Double 500m,bronze
NAJA Karolina,Poland,Canoe Sprint,Women's Kayak Double 500m,bronze
WLOSZCZOWSKA Maja,Poland,Cycling Mountain Bike,Women's Cross-country,silver
MAJKA Rafal,Poland,Cycling Road,Men's Road Race,bronze
NOWACKA Oktawia,Poland,Modern Pentathlon,Women's Individual,bronze
FULARCZYK-KOZLOWSKA Magdalena,Poland,Rowing,Women's Double Sculls,gold
MADAJ Natalia,Poland,Rowing,Women's Double Sculls,gold
CIACIUCH Monika,Poland,Rowing,Women's Quadruple Sculls,bronze
KOBUS Agnieszka,Poland,Rowing,Women's Quadruple Sculls,bronze
LESZCZYNSKA Joanna,Poland,Rowing,Women's Quadruple Sculls,bronze
SPRINGWALD Maria,Poland,Rowing,Women's Quadruple Sculls,bronze
MICHALIK Monika Ewa,Poland,Wrestling,Women's Freestyle 63 kg,bronze
MONTEIRO Telma,Portugal,Judo,Women -57 kg,bronze
PUIG Monica,Puerto Rico,Tennis,Women's Singles,gold
BARSHIM Mutaz Essa,Qatar,Athletics,Men's High Jump,silver
CHANG Hyejin,Republic of Korea,Archery,Women's Individual,gold
CHANG Hyejin,Republic of Korea,Archery,Women's Team,gold
KU Bonchan,Republic of Korea,Archery,Men's Individual,gold
KU Bonchan,Republic of Korea,Archery,Men's Team,gold
KI Bobae,Republic of Korea,Archery,Women's Team,gold
CHOI Misun,Republic of Korea,Archery,Women's Team,gold
KIM Woojin,Republic of Korea,Archery,Men's Team,gold
LEE Seungyun,Republic of Korea,Archery,Men's Team,gold
KI Bobae,Republic of Korea,Archery,Women's Individual,bronze
JUNG Kyung Eun,Republic of Korea,Badminton,Women's Doubles,bronze
SHIN Seung Chan,Republic of Korea,Badminton,Women's Doubles,bronze
PARK Sangyoung,Republic of Korea,Fencing,Men's Épée Individual,gold
KIM Junghwan,Republic of Korea,Fencing,Men's Sabre Individual,bronze
PARK Inbee,Republic of Korea,Golf,Women's Individual Stroke Play,gold
AN Baul,Republic of Korea,Judo,Men -66 kg,silver
JEONG Bokyeong,Republic of Korea,Judo,Women -48 kg,silver
GWAK Donghan,Republic of Korea,Judo,Men -90 kg,bronze
KIM Jonghyun,Republic of Korea,Shooting,50m Rifle Prone Men,silver
JIN Jongoh,Republic of Korea,Shooting,50m Pistol Men,gold
KIM Sohui,Republic of Korea,Taekwondo,Women -49kg,gold
OH Hyeri,Republic of Korea,Taekwondo,Women -67kg,gold
CHA Dongmin,Republic of Korea,Taekwondo,Men +80kg,bronze
KIM Taehun,Republic of Korea,Taekwondo,Men -58kg,bronze
LEE Daehoon,Republic of Korea,Taekwondo,Men -68kg,bronze
YOON Jin Hee,Republic of Korea,Weightlifting,Women's 53kg,bronze
KIM Hyeonwoo,Republic of Korea,Wrestling,Men's Greco-Roman 75 kg,bronze
TARNOVSCHI Serghei,Republic of Moldova,Canoe Sprint,Men's Canoe Single 1000m,bronze
DINU Loredana,Romania,Fencing,Women's Épée Team,gold
GHERMAN Simona,Romania,Fencing,Women's Épée Team,gold
POP Simona,Romania,Fencing,Women's Épée Team,gold
POPESCU Ana Maria,Romania,Fencing,Women's Épée Team,gold
BERES Madalina,Romania,Rowing,Women's Eight,bronze
BOGHIAN Andreea,Romania,Rowing,Women's Eight,bronze
BOGUS Adelina,Romania,Rowing,Women's Eight,bronze
COGIANU Roxana,Romania,Rowing,Women's Eight,bronze
DRUNCEA Daniela,Romania,Rowing,Women's Eight,bronze
OPREA Laura,Romania,Rowing,Women's Eight,bronze
PETRILA Mihaela,Romania,Rowing,Women's Eight,bronze
POPA Iuliana,Romania,Rowing,Women's Eight,bronze
STRUNGARU Ioana,Romania,Rowing,Women's Eight,bronze
MERGEA Florin,Romania,Tennis,Men's Doubles,silver
TECAU Horia,Romania,Tennis,Men's Doubles,silver
SINCRAIAN Gabriel,Romania,Weightlifting,Men's 85kg,bronze
SARITOV Albert,Romania,Wrestling,Men's Freestyle 97 kg,bronze
DASHIDORZHIEVA Tuiana,Russian Federation,Archery,Women's Team,silver
PEROVA Ksenia,Russian Federation,Archery,Women's Team,silver
STEPANOVA Inna,Russian Federation,Archery,Women's Team,silver
MUSTAFINA Aliya,Russian Federation,Artistic Gymnastics,Women's Team,silver
ABLIAZIN Denis,Russian Federation,Artistic Gymnastics,Men's Vault,silver
ABLIAZIN Denis,Russian Federation,Artistic Gymnastics,Men's Team,silver
PASEKA Maria,Russian Federation,Artistic Gymnastics,Women's Vault,silver
PASEKA Maria,Russian Federation,Artistic Gymnastics,Women's Team,silver
BELYAVSKIY David,Russian Federation,Artistic Gymnastics,Men's Team,silver
KUKSENKOV Nikolai,Russian Federation,Artistic Gymnastics,Men's Team,silver
MELNIKOVA Angelina,Russian Federation,Artistic Gymnastics,Women's Team,silver
NAGORNYY Nikita,Russian Federation,Artistic Gymnastics,Men's Team,silver
SPIRIDONOVA Daria,Russian Federation,Artistic Gymnastics,Women's Team,silver
